Title,Location,Company,Salary
Data Science Analyst (Remote),"Toronto, ON",Yelp,None
Senior Data Analyst,"Montréal, QC",National Bank of Canada,None
Sr. Analyst WF Data Science,"Toronto, ON",Rogers Communications,None
Senior Data Scientist,"Toronto, ON",Instacart,None
"Team Leader, Data Analytics","Saint John, NB",Kent Building Supplies,None
Data Scientist,"Toronto, ON",Altus Group,None
Data Scientist (AI/ML),Remote,OGGN Inc.,None
Machine Learning Developer (English Services),Canada,CBC/Radio-Canada,None
Data Scientist,None,FORM,None
Machine Learning Intern,None,Alberta Machine Intelligence Institute,"$2,540 a month"
Data Analytics,None,Enterprise Solutions Inc,None
Data Scientist,None,Charger Logistics Inc.,None
Senior Data Scientist,None,MaxSold,None
Senior Data Analyst,"Toronto, ON",RBC,None
"Data Scientist, Revenue & Modelling","Oakville, ON",Prodigy Game,None
Senior Data Scientist,"Toronto, ON",BMO Financial Group,None
Business Intelligence Data Developer,"Burnaby, BC",PHSA,$39.67 an hour
Data Scientist - Ocean & the Environment,"Dartmouth, NS",Global Spatial Technology Solutions Inc.,None
Data Scientist,"Toronto, ON",Torstar,None
Data Scientist Technical Lead (Toronto),"Toronto, ON",Intact,None
Deep Learning Engineer,"Vancouver, BC",Picovoice Inc,None
Big Data Engineer (Flexible Work),Ontario,Centro,None
Machine Learning Architect,"Calgary, AB",Qube Technologies Inc,None
Data Analytics,None,Enterprise Solutions Inc,None
Senior Applied Research Scientist,None,ZeroKey,"$100,000 - $125,000 a year"
"Data Scientist, Solar & Storage (Remote)",None,Power Factors,None
Data Scientist,None,Charger Logistics Inc.,None
Senior Data Scientist,None,MaxSold,None
Azure Analytics Data Engineer,None,ProCogia,"$83,522 - $147,388 a year"
Machine Learning Intern,None,Alberta Machine Intelligence Institute,"$2,540 a month"
