Title,Location,Company,Salary
"Deals, Data Analytics Generalist, Associate","Toronto, ON",PwC,None
"Specialist, Data Science","Toronto, ON",Celestica,None
Big Data Admin,"Toronto, ON",AstraNorth,None
Remote PT Data Science Mentor,"Vancouver, BC",Lighthouse Labs,$30 - $50 an hour
Software Engineer - Big Data (Remote),Remote,Yelp,None
Senior Data Analyst - Risk,Ontario,Circle,None
Lead Machine Learning Developer - (ehsAI),British Columbia,Intelex Technologies,None
"Educator, Data Scientist","Vancouver, BC",BrainStation,None
Sr Manager - Data Science,"Toronto, ON",BMO Financial Group,None
Senior Data Scientist,"National Capital Region, ON",Infinity Technology,None
"Senior Manager, Data Science","Toronto, ON",Vanguard,None
BI Developer,"Ottawa, ON",MSi Corp (Bell Canada),$40 an hour
Game Data Analyst,Remote,Eastside Games,None
"VP, Analytics & Insights",None,Benevity,None
2021 Summer Internship - Financial Risk Analytics - Software...,"Calgary, AB",IHS Markit,None
"Senior Actuarial Manager, Data Science","Montréal, QC",Aviva,None
Senior Applied Scientist - Machine Learning Products,"Toronto, ON",Xero,None
"Associate Educator, Data Scientist","Vancouver, BC",BrainStation,None
Machine Learning Researcher,Canada,Resolver Inc.,None
Data Science Instructor,"Toronto, ON",Juno College of Technology,"$70,000 - $85,000 a year"
"Senior Consultant / Manager, Microsoft Data and Analytics","Montréal, QC",KPMG,None
Machine Learning Developer,"Edmonton, AB",Tetra Tech,None
Data Scientist,None,Robert Half,"$65,000 - $75,000 a year"
"Machine Learning Intern (ML-Agents), AI@Unity","Vancouver, BC",ChilliConnect,None
Senior Data Scientist / Scientifique de données sénior,"Montréal, QC",ChilliConnect,None
