Company,Location,Title,Salary
Wenco (a Hitachi Subsidiary),"Richmond, BC",Applied Research Scientist,66566
Microsoft,"Vancouver, BC",Software Engineer - Machine Learning,66566
University of Lethbridge,"Lethbridge, AB",Data Science Instructor,66566
Loblaw Companies Limited,"Brampton, ON","Senior Manager, Data Science Health Products",66566
RBC,"Toronto, ON",Senior Data Scientist,66566
Loblaw Companies Limited,"Brampton, ON",Data Science Analyst,66566
RBC,"Toronto, ON",Senior Regulatory Data Analyst,66566
TradeRev,"Toronto, ON",Senior Data Analyst,66566
World Vision Canada,"Mississauga, ON","Analyst, Analytics & Insights (Impact Value Stream)",66566
Procom,None,Machine Learning Software Developer - 301693,66566
Yelp,"Toronto, ON",Lead Data Scientist - Core Local Business (Remote),66566
PwC,"Calgary, AB","Analytics, Data Engineer, Senior Associate",66566
Loblaw Digital,"Toronto, ON",Data Scientist (Growth & Marketing),66566
Carfax,"London, ON",Machine Learning Developer,66566
IBM,"Ottawa, ON","Client Technical Specialist, Data and AI",66566
Tally,"Vancouver, BC",Data Analyst,66566
TradeRev,"Toronto, ON",Senior Data Analyst,66566
CAE Inc.,"Saint-Laurent, QC",Scientifique des données / Data Scientist,66566
Loblaw Companies Limited,"Brampton, ON",Data Science Analyst,66566
Ubisoft,"Montréal, QC",Data Scientist – Statistics (User Research Lab),66566
Interac,"Toronto, ON",Senior Data Scientist,66566
Hudson's Bay Company (HBC),"Toronto, ON",MACHINE LEARNING ENGINEER,66566
Livestock Water Recycling,"Calgary, AB",Data Scientist Summer Intern,66566
GlobVision Inc.,"Montréal, QC",Data Scientist,66566
Jam City,"Toronto, ON",Senior Data Analyst,66566
Randstad,None,Data Scientist - Verdun,66566
ACV Auctions,"Toronto, ON",Sr. Analytics Engineer,66566
PwC,"Toronto, ON","Analytics, Data Scientist, Senior Associate",66566
